ledger_entry_id,transaction_id,settlement_id,merchant_id,debit,credit,net_amount,currency,ledger_status,posted_at,reference
LDG_70017,TXN_10017,SET_70017,MERCH_120,0,9659.25,9659.25,INR,posted,2026-08-03T14:50:00,SET_70017
LDG_70018,TXN_10018,SET_70018,MERCH_107,0,10153.31,10153.31,INR,posted,2026-08-03T17:34:00,SET_70018
LDG_70019,TXN_10019,SET_70019,MERCH_117,0,10455.17,10455.17,INR,posted,2026-08-03T20:30:00,SET_70019
LDG_70020,TXN_10020,SET_70020,MERCH_101,0,13599.05,13599.05,INR,posted,2026-08-03T23:35:00,SET_70020
LDG_70021,TXN_10021,SET_70021,MERCH_106,0,14179.53,14179.53,INR,pending,,SET_70021
LDG_70022,TXN_10022,SET_70022,MERCH_120,0,11956.76,11956.76,INR,pending,,SET_70022
LDG_70023,TXN_10023,SET_70023,MERCH_108,0,10025.65,10025.65,INR,pending,,SET_70023
LDG_70024,TXN_10024,SET_70024,MERCH_108,0,13287.42,13287.42,INR,pending,,SET_70024
LDG_70025,TXN_10025,SET_70025,MERCH_111,0,10453.59,10453.59,INR,pending,,SET_70025
LDG_70026,TXN_10026,SET_70026,MERCH_102,0,13334.49,13334.49,INR,pending,,SET_70026
LDG_70027,TXN_10027,SET_70027,MERCH_120,0,10134.93,10134.93,INR,pending,,SET_70027
LDG_70028,TXN_10028,SET_70028,MERCH_102,0,11342.08,11342.08,INR,pending,,SET_70028
LDG_70029,TXN_10029,SET_70029,MERCH_108,0,14490.68,14490.68,INR,pending,,SET_70029
LDG_70030,TXN_10030,SET_70030,MERCH_117,0,13308.16,13308.16,INR,pending,,SET_70030
LDG_70031,TXN_10031,SET_70031,MERCH_113,0,10125.14,10125.14,INR,pending,,SET_70031
LDG_70032,TXN_10032,SET_70032,MERCH_116,0,14176.79,14176.79,INR,pending,,SET_70032
LDG_70037,TXN_10037,SET_70037,MERCH_104,0,0,0,INR,pending,,SET_70037
LDG_70038,TXN_10038,SET_70038,MERCH_116,0,0,0,INR,pending,,SET_70038
LDG_70039,TXN_10039,SET_70039,MERCH_106,0,0,0,INR,pending,,SET_70039
LDG_70040,TXN_10040,SET_70040,MERCH_116,0,0,0,INR,pending,,SET_70040
LDG_70041,TXN_10041,SET_70041,MERCH_110,0,4479.15,4479.15,INR,partial,2026-08-06T14:45:00,SET_70041
LDG_70042,TXN_10042,SET_70042,MERCH_102,0,9374.91,9374.91,INR,partial,2026-08-06T17:13:00,SET_70042
LDG_70043,TXN_10043,SET_70043,MERCH_110,0,5503.09,5503.09,INR,partial,2026-08-06T20:25:00,SET_70043
LDG_70044,TXN_10044,SET_70044,MERCH_117,0,5646.63,5646.63,INR,partial,2026-08-07T00:09:00,SET_70044
LDG_70045,TXN_10045,SET_70045,MERCH_115,0,13612.22,13612.22,INR,pending,,SET_70045
LDG_70046,TXN_10046,SET_70046,MERCH_113,0,11178.46,11178.46,INR,pending,,SET_70046
LDG_70047,TXN_10047,SET_70047,MERCH_101,0,12891.91,12891.91,INR,pending,,SET_70047
LDG_70048,TXN_10048,SET_70048,MERCH_112,0,13186.45,13186.45,INR,pending,,SET_70048
LDG_70049,TXN_10049,SET_70049,MERCH_106,0,10297.26,10297.26,INR,posted,2026-08-07T14:38:00,SET_70049
LDG_70050,TXN_10050,SET_70050,MERCH_114,0,10617.31,10617.31,INR,posted,2026-08-07T18:09:00,SET_70050
LDG_70051,TXN_10051,SET_70051,MERCH_117,0,9801.59,9801.59,INR,posted,2026-08-07T20:51:00,SET_70051
LDG_70052,TXN_10052,SET_70052,MERCH_102,0,14250.58,14250.58,INR,pending,,SET_70052
LDG_70053,TXN_10053,SET_70053,MERCH_113,0,11883.79,11883.79,INR,pending,,SET_70053
LDG_70054,TXN_10054,SET_70054,MERCH_105,0,11310.96,11310.96,INR,pending,,SET_70054
LDG_70058,TXN_10058,SET_70058,MERCH_101,0,12412.95,12412.95,INR,posted,2026-08-08T17:42:00,SET_70058
LDG_70059,TXN_10059,SET_70059,MERCH_102,0,13847.67,13847.67,INR,posted,2026-08-08T20:14:00,SET_70059
LDG_70060,TXN_10060,SET_70060,MERCH_103,0,14332.36,14332.36,INR,posted,2026-08-08T23:46:00,SET_70060
LDG_70061,TXN_10061,SET_70061,MERCH_119,0,9489.22,9489.22,INR,posted,2026-08-09T02:15:00,SET_70061
