bank_transaction_id,utr,settlement_id,transaction_id,account_id,amount,currency,bank_status,initiated_at,credited_at,bank_response_code,bank_response_message
BTX_70042,HDFC170674,SET_70042,TXN_10042,ACC_102,9374.91,INR,partial,2026-08-06T15:08:00,2026-08-06T17:03:00,00,SUCCESS
BTX_70043,ICICI801474,SET_70043,TXN_10043,ACC_110,5503.09,INR,partial,2026-08-06T18:20:00,2026-08-06T20:15:00,00,SUCCESS
BTX_70044,KOTAK704201,SET_70044,TXN_10044,ACC_117,5646.63,INR,partial,2026-08-06T22:04:00,2026-08-06T23:59:00,00,SUCCESS
BTX_70045,AXIS201639,SET_70045,TXN_10045,ACC_115,13612.22,INR,credited,2026-08-07T00:17:00,2026-08-07T02:12:00,00,SUCCESS
BTX_70046,SBI864491,SET_70046,TXN_10046,ACC_113,11178.46,INR,credited,2026-08-07T03:31:00,2026-08-07T05:26:00,00,SUCCESS
BTX_70047,AXIS163556,SET_70047,TXN_10047,ACC_101,12891.91,INR,credited,2026-08-07T06:46:00,2026-08-07T08:41:00,00,SUCCESS
BTX_70048,AXIS360735,SET_70048,TXN_10048,ACC_112,13186.45,INR,credited,2026-08-07T09:56:00,2026-08-07T11:51:00,00,SUCCESS
BTX_70049,HDFC542374,SET_70049,TXN_10049,ACC_106,9987.17,INR,credited,2026-08-07T12:33:00,2026-08-07T14:28:00,00,SUCCESS
BTX_70050,AXIS564656,SET_70050,TXN_10050,ACC_114,9932.5,INR,credited,2026-08-07T16:04:00,2026-08-07T17:59:00,00,SUCCESS
BTX_70051,KOTAK976638,SET_70051,TXN_10051,ACC_117,9592.74,INR,credited,2026-08-07T18:46:00,2026-08-07T20:41:00,00,SUCCESS
BTX_70055,KOTAK794022,SET_70055,TXN_10055,ACC_114,10807.64,INR,credited,2026-08-08T06:49:00,2026-08-08T08:44:00,00,SUCCESS
BTX_70056,HDFC161324,SET_70056,TXN_10056,ACC_115,10107.08,INR,credited,2026-08-08T09:23:00,2026-08-08T11:18:00,00,SUCCESS
BTX_70057,ICICI159942,SET_70057,TXN_10057,ACC_118,13226.85,INR,credited,2026-08-08T12:08:00,2026-08-08T14:03:00,00,SUCCESS
BTX_70058,AXIS632496,SET_70058,TXN_10058,ACC_101,12412.95,INR,credited,2026-08-08T15:37:00,2026-08-08T17:32:00,00,SUCCESS
BTX_70059,HDFC523389,SET_70059,TXN_10059,ACC_102,13847.67,INR,credited,2026-08-08T18:09:00,2026-08-08T20:04:00,00,SUCCESS
BTX_70060,HDFC707040,SET_70060,TXN_10060,ACC_103,14332.36,INR,credited,2026-08-08T21:41:00,2026-08-08T23:36:00,00,SUCCESS
BTX_70060_DUP,HDFC707040,SET_70060,TXN_10060,ACC_103,14332.36,INR,credited,2026-08-08T22:11:00,2026-08-09T00:11:00,00,SUCCESS
BTX_70061,SBI789305,SET_70061,TXN_10061,ACC_119,9489.22,INR,credited,2026-08-09T00:10:00,2026-08-09T02:05:00,00,SUCCESS
BTX_70061_DUP,SBI789305,SET_70061,TXN_10061,ACC_119,9489.22,INR,credited,2026-08-09T00:40:00,2026-08-09T02:40:00,00,SUCCESS
