transaction_id,merchant_id,gateway_payment_id,order_id,amount,currency,payment_status,captured_at,settlement_id,settlement_status,settlement_amount,fees,tax,utr,settlement_created_at,failure_code,failure_reason,scenario_tag
TXN_10036,MERCH_115,PAY_10036,ORDER_10036,13988.13,INR,failed,2026-08-05T21:48:00,,not_initiated,,,,,,GTW_ERR,CARD_DECLINED,GATEWAY_FAILURE
TXN_10037,MERCH_104,PAY_10037,ORDER_10037,13128.63,INR,processed,2026-08-06T00:35:00,SET_70037,on_hold,12818.8,262.57,47.26,HDFC377932,2026-08-06T00:37:00,,,SETTLEMENT_ON_HOLD
TXN_10038,MERCH_116,PAY_10038,ORDER_10038,14298.38,INR,processed,2026-08-06T03:27:00,SET_70038,on_hold,13960.94,285.97,51.47,HDFC665492,2026-08-06T03:29:00,,,SETTLEMENT_ON_HOLD
TXN_10039,MERCH_106,PAY_10039,ORDER_10039,13421.22,INR,processed,2026-08-06T06:25:00,SET_70039,on_hold,13104.48,268.42,48.32,ICICI559381,2026-08-06T06:27:00,,,SETTLEMENT_ON_HOLD
TXN_10040,MERCH_116,PAY_10040,ORDER_10040,11983.17,INR,processed,2026-08-06T09:15:00,SET_70040,on_hold,11700.37,239.66,43.14,HDFC167136,2026-08-06T09:17:00,,,SETTLEMENT_ON_HOLD
TXN_10041,MERCH_110,PAY_10041,ORDER_10041,9615.69,INR,processed,2026-08-06T12:35:00,SET_70041,processed,9388.76,192.31,34.62,HDFC717024,2026-08-06T12:37:00,,,PARTIAL_SETTLEMENT
TXN_10042,MERCH_102,PAY_10042,ORDER_10042,13393.13,INR,processed,2026-08-06T15:03:00,SET_70042,processed,13077.06,267.86,48.21,HDFC170674,2026-08-06T15:05:00,,,PARTIAL_SETTLEMENT
TXN_10043,MERCH_110,PAY_10043,ORDER_10043,9889.72,INR,processed,2026-08-06T18:15:00,SET_70043,processed,9656.33,197.79,35.6,ICICI801474,2026-08-06T18:17:00,,,PARTIAL_SETTLEMENT
TXN_10044,MERCH_117,PAY_10044,ORDER_10044,10227.72,INR,processed,2026-08-06T21:59:00,SET_70044,processed,9986.35,204.55,36.82,KOTAK704201,2026-08-06T22:01:00,,,PARTIAL_SETTLEMENT
TXN_10045,MERCH_115,PAY_10045,ORDER_10045,13941.23,INR,processed,2026-08-07T00:12:00,SET_70045,processed,13612.22,278.82,50.19,AXIS201639,2026-08-07T00:14:00,,,LEDGER_SYNC_DELAY
TXN_10046,MERCH_113,PAY_10046,ORDER_10046,11448.64,INR,processed,2026-08-07T03:26:00,SET_70046,processed,11178.46,228.97,41.21,SBI864491,2026-08-07T03:28:00,,,LEDGER_SYNC_DELAY
TXN_10047,MERCH_101,PAY_10047,ORDER_10047,13203.51,INR,processed,2026-08-07T06:41:00,SET_70047,processed,12891.91,264.07,47.53,AXIS163556,2026-08-07T06:43:00,,,LEDGER_SYNC_DELAY
TXN_10048,MERCH_112,PAY_10048,ORDER_10048,13505.17,INR,processed,2026-08-07T09:51:00,SET_70048,processed,13186.45,270.1,48.62,AXIS360735,2026-08-07T09:53:00,,,LEDGER_SYNC_DELAY
TXN_10049,MERCH_106,PAY_10049,ORDER_10049,10546.15,INR,processed,2026-08-07T12:28:00,SET_70049,processed,10297.26,210.92,37.97,HDFC542374,2026-08-07T12:30:00,,,AMOUNT_MISMATCH
TXN_10050,MERCH_114,PAY_10050,ORDER_10050,10873.94,INR,processed,2026-08-07T15:59:00,SET_70050,processed,10617.31,217.48,39.15,AXIS564656,2026-08-07T16:01:00,,,AMOUNT_MISMATCH
TXN_10051,MERCH_117,PAY_10051,ORDER_10051,10038.5,INR,processed,2026-08-07T18:41:00,SET_70051,processed,9801.59,200.77,36.14,KOTAK976638,2026-08-07T18:43:00,,,AMOUNT_MISMATCH
TXN_10052,MERCH_102,PAY_10052,ORDER_10052,14595.02,INR,processed,2026-08-07T21:54:00,SET_70052,processed,14250.58,291.9,52.54,HDFC274389,2026-08-07T21:56:00,,,MISSING_BANK_RECORD
TXN_10053,MERCH_113,PAY_10053,ORDER_10053,12171.03,INR,processed,2026-08-08T00:13:00,SET_70053,processed,11883.79,243.42,43.82,SBI161483,2026-08-08T00:15:00,,,MISSING_BANK_RECORD
TXN_10054,MERCH_105,PAY_10054,ORDER_10054,11584.35,INR,processed,2026-08-08T03:24:00,SET_70054,processed,11310.96,231.69,41.7,ICICI922157,2026-08-08T03:26:00,,,MISSING_BANK_RECORD
TXN_10055,MERCH_114,PAY_10055,ORDER_10055,11068.87,INR,processed,2026-08-08T06:44:00,SET_70055,processed,10807.64,221.38,39.85,KOTAK794022,2026-08-08T06:46:00,,,MISSING_LEDGER_RECORD
TXN_10056,MERCH_115,PAY_10056,ORDER_10056,10351.38,INR,processed,2026-08-08T09:18:00,SET_70056,processed,10107.08,207.03,37.27,HDFC161324,2026-08-08T09:20:00,,,MISSING_LEDGER_RECORD
TXN_10057,MERCH_118,PAY_10057,ORDER_10057,13546.55,INR,processed,2026-08-08T12:03:00,SET_70057,processed,13226.85,270.93,48.77,ICICI159942,2026-08-08T12:05:00,,,MISSING_LEDGER_RECORD
TXN_10058,MERCH_101,PAY_10058,ORDER_10058,12712.98,INR,processed,2026-08-08T15:32:00,SET_70058,processed,12412.95,254.26,45.77,KOTAK265080,2026-08-08T15:34:00,,,UTR_MISMATCH
TXN_10059,MERCH_102,PAY_10059,ORDER_10059,14182.38,INR,processed,2026-08-08T18:04:00,SET_70059,processed,13847.67,283.65,51.06,KOTAK171262,2026-08-08T18:06:00,,,UTR_MISMATCH
TXN_10060,MERCH_103,PAY_10060,ORDER_10060,14678.78,INR,processed,2026-08-08T21:36:00,SET_70060,processed,14332.36,293.58,52.84,HDFC707040,2026-08-08T21:38:00,,,DUPLICATE_BANK_ENTRY
TXN_10061,MERCH_119,PAY_10061,ORDER_10061,9718.58,INR,processed,2026-08-09T00:05:00,SET_70061,processed,9489.22,194.37,34.99,SBI789305,2026-08-09T00:07:00,,,DUPLICATE_BANK_ENTRY
